head,tail,relation,weight
"(1239576949934047232, 't')","(2808590695, 'u')",replied_to,
"(1240535441847095296, 't')","(1060564414116450432, 'u')",replied_to,
"(1243967634057510912, 't')","(3255342379, 'u')",replied_to,
"(1245940455558098944, 't')","(1021673051409117184, 'u')",replied_to,
"(1253083733269213184, 't')","(43906698, 'u')",replied_to,
"(1254230076503154688, 't')","(2759306191, 'u')",replied_to,
"(1254480138672025600, 't')","(2614291162, 'u')",replied_to,
"(1254719759234420736, 't')","(190185866, 'u')",replied_to,
"(1256976755094515712, 't')","(1238179842551472128, 'u')",replied_to,
"(1259568412075810816, 't')","(958159277675302784, 'u')",replied_to,
"(1260363065326833664, 't')","(519185380, 'u')",replied_to,
"(1261459713041944576, 't')","(1053272815179247616, 'u')",replied_to,
"(1262034163760128000, 't')","(882456098, 'u')",replied_to,
"(1262564334602878976, 't')","(14303901, 'u')",replied_to,
"(1263326212304191488, 't')","(168576529, 'u')",replied_to,
"(1265705509752954880, 't')","(2818506394, 'u')",replied_to,
"(1266057040553598976, 't')","(632250530, 'u')",replied_to,
"(1266606520336133888, 't')","(739848877495312384, 'u')",replied_to,
"(1267343247875112960, 't')","(1232803306289786880, 'u')",replied_to,
"(1267873269262114816, 't')","(2402491790, 'u')",replied_to,
"(1269734388108939264, 't')","(958159277675302784, 'u')",replied_to,
"(1270102540139425792, 't')","(1218966832230481920, 'u')",replied_to,
"(1270892177678143488, 't')","(1245830617826086912, 'u')",replied_to,
"(1270953590618636288, 't')","(626591467, 'u')",replied_to,
"(1273411192770269184, 't')","(4771919948, 'u')",replied_to,
"(1273524277841498112, 't')","(323048248, 'u')",replied_to,
"(1274482971320279040, 't')","(120517542, 'u')",replied_to,
"(1279859797773279232, 't')","(981196167101825024, 'u')",replied_to,
"(1280605681867870208, 't')","(1127423732467679232, 'u')",replied_to,
"(1280605910193192960, 't')","(1127423732467679232, 'u')",replied_to,
"(1281762650888654848, 't')","(843917714326409216, 'u')",replied_to,
"(1282084941728149504, 't')","(1122171985797058560, 'u')",replied_to,
"(1287431141830451200, 't')","(543659463, 'u')",replied_to,
"(1292139417293877248, 't')","(1196934665128398848, 'u')",replied_to,
"(1293313318279553024, 't')","(14303901, 'u')",replied_to,
"(1293332261593468928, 't')","(752689838, 'u')",replied_to,
"(1296886409609936896, 't')","(1267103597164036096, 'u')",replied_to,
"(1300655222792937472, 't')","(3133701864, 'u')",replied_to,
"(1301383283100377088, 't')","(2808590695, 'u')",replied_to,
"(1311329715114844160, 't')","(52336206, 'u')",replied_to,
"(1312529940584132608, 't')","(199120695, 'u')",replied_to,
"(1315845674869509888, 't')","(199120695, 'u')",replied_to,
"(1316776701817356288, 't')","(1230327472748519424, 'u')",replied_to,
"(1317751615734992896, 't')","(1230327472748519424, 'u')",replied_to,
"(1319705731159846912, 't')","(576762989, 'u')",replied_to,
"(1323595831572770816, 't')","(19275691, 'u')",replied_to,
"(1325794707675508736, 't')","(1572081600, 'u')",replied_to,
"(1325946233676943360, 't')","(1230327472748519424, 'u')",replied_to,
"(1326023361860759552, 't')","(1230327472748519424, 'u')",replied_to,
"(1328112576132104192, 't')","(895224017883287552, 'u')",replied_to,
"(1332409217446076416, 't')","(919942305917706240, 'u')",replied_to,
"(1333887814740545536, 't')","(2283502278, 'u')",replied_to,
"(1335648261693063168, 't')","(199120695, 'u')",replied_to,
"(1335829231486418944, 't')","(1408889839, 'u')",replied_to,
"(1336260836176789504, 't')","(293714243, 'u')",replied_to,
"(1337617763242676224, 't')","(966916916605431808, 'u')",replied_to,
"(1341530859623514112, 't')","(815726335, 'u')",replied_to,
"(1341902993092825088, 't')","(309187187, 'u')",replied_to,
"(1346569436895973376, 't')","(325679109, 'u')",replied_to,
"(1346923774700969984, 't')","(26501176, 'u')",replied_to,
"(1359651609400152064, 't')","(833468312134619136, 'u')",replied_to,
"(1359884469084123136, 't')","(2658147066, 'u')",replied_to,
"(1360961282015436800, 't')","(199120695, 'u')",replied_to,
"(1361908242356445184, 't')","(14338572, 'u')",replied_to,
"(1362370623922561024, 't')","(1029905845293867008, 'u')",replied_to,
"(1362995452954636288, 't')","(291541349, 'u')",replied_to,
"(1364289941581144064, 't')","(199120695, 'u')",replied_to,
"(1364612782906216448, 't')","(1217437384213585920, 'u')",replied_to,
"(1364720063983493120, 't')","(293714243, 'u')",replied_to,
"(1368290612118573056, 't')","(707746458271883264, 'u')",replied_to,
"(1371013963723370496, 't')","(1069728005893836800, 'u')",replied_to,
"(1373500989357969408, 't')","(4775526133, 'u')",replied_to,
"(1374336101075222528, 't')","(366726759, 'u')",replied_to,
"(1377538154320719872, 't')","(1296858137547300864, 'u')",replied_to,
"(1378448831407288320, 't')","(2185190036, 'u')",replied_to,
"(1382032391682727936, 't')","(158988614, 'u')",replied_to,
"(1382033227980832768, 't')","(158988614, 'u')",replied_to,
"(1382816254336004096, 't')","(294232586, 'u')",replied_to,
"(1383897143178448896, 't')","(293714243, 'u')",replied_to,
"(1384616752248590336, 't')","(2526023920, 'u')",replied_to,
"(1386106414406397952, 't')","(1365850744507760640, 'u')",replied_to,
"(1386416647871766528, 't')","(68004188, 'u')",replied_to,
"(1386517568874156032, 't')","(15953110, 'u')",replied_to,
"(1389372883118395392, 't')","(956366320026632192, 'u')",replied_to,
"(1390402596662222848, 't')","(1337377197472894976, 'u')",replied_to,
"(1399160339158093824, 't')","(16068973, 'u')",replied_to,
"(1403486661145620480, 't')","(1087387242337685632, 'u')",replied_to,
"(1239470251231686912, 't')","(460348130, 'u')",mentioned,
"(1254230076503154688, 't')","(2759306191, 'u')",mentioned,
"(1258059479477821440, 't')","(610170736, 'u')",mentioned,
"(1273524277841498112, 't')","(323048248, 'u')",mentioned,
"(1287431141830451200, 't')","(543659463, 'u')",mentioned,
"(1335829231486418944, 't')","(1408889839, 'u')",mentioned,
"(1362370623922561024, 't')","(1029905845293867008, 'u')",mentioned,
"(1368290612118573056, 't')","(707746458271883264, 'u')",mentioned,
"(1373500989357969408, 't')","(4775526133, 'u')",mentioned,
"(1237721644841308160, 't')",2020-03-11,tweeted_on,
"(1237721688390774784, 't')",2020-03-11,tweeted_on,
"(1237819478529851392, 't')",2020-03-11,tweeted_on,
"(1237830857047461888, 't')",2020-03-11,tweeted_on,
"(1237914438000185088, 't')",2020-03-12,tweeted_on,
