head,tail,relation,weight
"(1239414967947808768, 't')","(28062904, 'u')",replied_to,
"(1239576949934047232, 't')","(2808590695, 'u')",replied_to,
"(1240535441847095296, 't')","(1060564414116450432, 'u')",replied_to,
"(1240860777625440512, 't')","(52783689, 'u')",replied_to,
"(1243967634057510912, 't')","(3255342379, 'u')",replied_to,
"(1244301857536610304, 't')","(66877234, 'u')",replied_to,
"(1245940455558098944, 't')","(1021673051409117184, 'u')",replied_to,
"(1247779509497032704, 't')","(4922073732, 'u')",replied_to,
"(1248040686600912896, 't')","(231654329, 'u')",replied_to,
"(1248160044891295488, 't')","(776129755766661120, 'u')",replied_to,
"(1250239385624174592, 't')","(2342377856, 'u')",replied_to,
"(1250542623263088640, 't')","(1209273395298258944, 'u')",replied_to,
"(1251960135498395648, 't')","(2442705600, 'u')",replied_to,
"(1252176314196361216, 't')","(1061361194, 'u')",replied_to,
"(1254719759234420736, 't')","(190185866, 'u')",replied_to,
"(1255645815055368192, 't')","(707468037880987648, 'u')",replied_to,
"(1256262874210565888, 't')","(994099818, 'u')",replied_to,
"(1256791007439421440, 't')","(834744876, 'u')",replied_to,
"(1256829323945758720, 't')","(54411909, 'u')",replied_to,
"(1258395176717873152, 't')","(22792977, 'u')",replied_to,
"(1260319363845853184, 't')","(519185380, 'u')",replied_to,
"(1260363065326833664, 't')","(519185380, 'u')",replied_to,
"(1261069604354309888, 't')","(114050215, 'u')",replied_to,
"(1261459713041944576, 't')","(1053272815179247616, 'u')",replied_to,
"(1262244353621123072, 't')","(42770882, 'u')",replied_to,
"(1264217783010652160, 't')","(2504780305, 'u')",replied_to,
"(1265033255159394304, 't')","(749040788219187200, 'u')",replied_to,
"(1265521189784629248, 't')","(750562101329092608, 'u')",replied_to,
"(1265692230360031232, 't')","(30394551, 'u')",replied_to,
"(1266055137845338112, 't')","(975860939655323648, 'u')",replied_to,
"(1266114155519475712, 't')","(77012285, 'u')",replied_to,
"(1266116767644028928, 't')","(61366466, 'u')",replied_to,
"(1266456430158024704, 't')","(244383965, 'u')",replied_to,
"(1266504252517576704, 't')","(320513209, 'u')",replied_to,
"(1266512576080314368, 't')","(982416781653364736, 'u')",replied_to,
"(1266566114571546624, 't')","(104546417, 'u')",replied_to,
"(1266606520336133888, 't')","(739848877495312384, 'u')",replied_to,
"(1266659916330106880, 't')","(1593670470, 'u')",replied_to,
"(1266687843654447104, 't')","(1463576012, 'u')",replied_to,
"(1266933513674162176, 't')","(715239561622716416, 'u')",replied_to,
"(1267226048195747840, 't')","(14806085, 'u')",replied_to,
"(1267254330559627264, 't')","(2383944156, 'u')",replied_to,
"(1267257382926597888, 't')","(896440215102816256, 'u')",replied_to,
"(1267295439553916928, 't')","(217286887, 'u')",replied_to,
"(1267308970579914752, 't')","(472353837, 'u')",replied_to,
"(1267343247875112960, 't')","(1232803306289786880, 'u')",replied_to,
"(1267356524680118272, 't')","(798927237873475584, 'u')",replied_to,
"(1267472047447224320, 't')","(54302132, 'u')",replied_to,
"(1267495158007783424, 't')","(1226964360234319872, 'u')",replied_to,
"(1267547275355553792, 't')","(3282158222, 'u')",replied_to,
