head,tail,relation,weight
"(1238628359921270784, 't')","(363269363, 'u')",replied_to,
"(1240408583205826560, 't')","(2292039997, 'u')",replied_to,
"(1240429396369870848, 't')","(2996620543, 'u')",replied_to,
"(1240744239064944640, 't')","(1119147918433210368, 'u')",replied_to,
"(1240800543141793792, 't')","(76245147, 'u')",replied_to,
"(1242748013954531328, 't')","(718282729507446784, 'u')",replied_to,
"(1243538480468287488, 't')","(31877796, 'u')",replied_to,
"(1244004283558723584, 't')","(34653091, 'u')",replied_to,
"(1245107426325442560, 't')","(1390712454, 'u')",replied_to,
"(1246276478708269056, 't')","(14303901, 'u')",replied_to,
"(1247299270484480000, 't')","(595189266, 'u')",replied_to,
"(1247489517315141632, 't')","(1052184261250273152, 'u')",replied_to,
"(1247627126804627712, 't')","(14827461, 'u')",replied_to,
"(1248116720037847040, 't')","(1069391943661207552, 'u')",replied_to,
"(1253197575814917888, 't')","(92427125, 'u')",replied_to,
"(1253933913661042688, 't')","(87250503, 'u')",replied_to,
"(1254090568780546048, 't')","(1173943919920349184, 'u')",replied_to,
"(1257489278352777216, 't')","(757610660536590336, 'u')",replied_to,
"(1259495358285050112, 't')","(891552160059674624, 'u')",replied_to,
"(1260967013914009600, 't')","(232296852, 'u')",replied_to,
"(1261459713041944576, 't')","(1053272815179247616, 'u')",replied_to,
"(1262564334602878976, 't')","(14303901, 'u')",replied_to,
"(1262689136223219712, 't')","(769012459, 'u')",replied_to,
"(1263266364250132480, 't')","(20039736, 'u')",replied_to,
"(1263515823588564992, 't')","(14303901, 'u')",replied_to,
"(1263580406474878976, 't')","(225923287, 'u')",replied_to,
"(1264718487743655936, 't')","(496255842, 'u')",replied_to,
"(1264987188342579200, 't')","(38117147, 'u')",replied_to,
"(1265705509752954880, 't')","(2818506394, 'u')",replied_to,
"(1265861995552600064, 't')","(153164213, 'u')",replied_to,
"(1266043840709812224, 't')","(2739409145, 'u')",replied_to,
"(1266452597868621824, 't')","(3242744419, 'u')",replied_to,
"(1267343247875112960, 't')","(1232803306289786880, 'u')",replied_to,
"(1267547275355553792, 't')","(3282158222, 'u')",replied_to,
"(1267578224428511232, 't')","(198420647, 'u')",replied_to,
"(1267711030890647552, 't')","(851970696968155136, 'u')",replied_to,
"(1267885718019309568, 't')","(28495407, 'u')",replied_to,
"(1268300897320202240, 't')","(53300071, 'u')",replied_to,
"(1268308030015156224, 't')","(236623086, 'u')",replied_to,
"(1268981914372718592, 't')","(473384312, 'u')",replied_to,
"(1270398549671374848, 't')","(18229734, 'u')",replied_to,
"(1270451306499457024, 't')","(14632102, 'u')",replied_to,
"(1270478196106915840, 't')","(4879886542, 'u')",replied_to,
"(1270795659768025088, 't')","(18229734, 'u')",replied_to,
"(1270854614582063104, 't')","(18229734, 'u')",replied_to,
"(1270855622041284608, 't')","(18229734, 'u')",replied_to,
"(1271171492093456384, 't')","(3134103409, 'u')",replied_to,
"(1271191055623282688, 't')","(496255842, 'u')",replied_to,
"(1271491734141165568, 't')","(42100556, 'u')",replied_to,
"(1271664463893000192, 't')","(1009535179071713152, 'u')",replied_to,
"(1271965333897670912, 't')","(869634439143276544, 'u')",replied_to,
"(1273462891744645120, 't')","(467858205, 'u')",replied_to,
"(1274128208682610688, 't')","(3139722678, 'u')",replied_to,
"(1274239656133947392, 't')","(14303901, 'u')",replied_to,
"(1276370628811952128, 't')","(721523220977856512, 'u')",replied_to,
"(1276849707600326912, 't')","(1274924989414641664, 'u')",replied_to,
"(1276872171063701504, 't')","(199120695, 'u')",replied_to,
"(1277478636803653632, 't')","(57483466, 'u')",replied_to,
"(1277628613349658624, 't')","(3402249335, 'u')",replied_to,
"(1277789613285769216, 't')","(1463576012, 'u')",replied_to,
"(1278199826442665984, 't')","(1274924989414641664, 'u')",replied_to,
"(1278626128257675264, 't')","(291271945, 'u')",replied_to,
"(1278627857552388096, 't')","(291271945, 'u')",replied_to,
"(1278805587422109696, 't')","(27231270, 'u')",replied_to,
"(1279455704332394496, 't')","(854036208, 'u')",replied_to,
"(1280056411662061568, 't')","(3924209712, 'u')",replied_to,
"(1280605681867870208, 't')","(1127423732467679232, 'u')",replied_to,
"(1280646396794687488, 't')","(1267602851976450048, 'u')",replied_to,
"(1281087807734177792, 't')","(198420647, 'u')",replied_to,
"(1281762650888654848, 't')","(843917714326409216, 'u')",replied_to,
"(1281969405283295232, 't')","(873405370684846080, 'u')",replied_to,
"(1282244484151996416, 't')","(897564554644918272, 'u')",replied_to,
"(1282462581513351168, 't')","(39071517, 'u')",replied_to,
"(1284115057006133248, 't')","(199120695, 'u')",replied_to,
"(1284190232464592896, 't')","(701233, 'u')",replied_to,
"(1284929269202911232, 't')","(1077010731873095552, 'u')",replied_to,
"(1285643711192412160, 't')","(1214762955025219584, 'u')",replied_to,
"(1286395572845309952, 't')","(19556034, 'u')",replied_to,
"(1286463214394454016, 't')","(199120695, 'u')",replied_to,
"(1286863471519207424, 't')","(770396836603400192, 'u')",replied_to,
"(1288917122907648000, 't')","(199120695, 'u')",replied_to,
"(1290146603265794048, 't')","(1046906136866279424, 'u')",replied_to,
"(1290618195347267584, 't')","(2565923694, 'u')",replied_to,
"(1290803751779876864, 't')","(1242369955, 'u')",replied_to,
"(1293313318279553024, 't')","(14303901, 'u')",replied_to,
"(1293332261593468928, 't')","(752689838, 'u')",replied_to,
"(1295849801553084416, 't')","(765677241242046464, 'u')",replied_to,
"(1297599978194403328, 't')","(1086498068248199168, 'u')",replied_to,
"(1299424551776980992, 't')","(36275453, 'u')",replied_to,
"(1299903764480946176, 't')","(1091410284, 'u')",replied_to,
"(1300655222792937472, 't')","(3133701864, 'u')",replied_to,
"(1301210925601615872, 't')","(3738612312, 'u')",replied_to,
"(1301290521491505152, 't')","(833222601367367680, 'u')",replied_to,
"(1303038956695552000, 't')","(45994463, 'u')",replied_to,
"(1303125308715855872, 't')","(2185190036, 'u')",replied_to,
"(1303364480097595392, 't')","(1091410284, 'u')",replied_to,
"(1303718577099350016, 't')","(1091410284, 'u')",replied_to,
"(1303731304886796288, 't')","(1091410284, 'u')",replied_to,
"(1306496319498809088, 't')","(966361524909457408, 'u')",replied_to,
"(1308152155837063168, 't')","(217920201, 'u')",replied_to,
"(1308172379776925696, 't')","(718223094880563200, 'u')",replied_to,
"(1308250029694619648, 't')","(1127115397042397184, 'u')",replied_to,
"(1308682916780601088, 't')","(815726335, 'u')",replied_to,
"(1309504501393448960, 't')","(199120695, 'u')",replied_to,
"(1309933126035017728, 't')","(2185190036, 'u')",replied_to,
"(1310107396815990784, 't')","(1267323257608380416, 'u')",replied_to,
"(1311329715114844160, 't')","(52336206, 'u')",replied_to,
"(1311513975901753088, 't')","(1272083018866290688, 'u')",replied_to,
"(1312452408199376896, 't')","(20419001, 'u')",replied_to,
"(1312610966392069888, 't')","(56440828, 'u')",replied_to,
"(1312759481973895168, 't')","(199120695, 'u')",replied_to,
"(1313005898873278464, 't')","(267418331, 'u')",replied_to,
"(1313205464457306112, 't')","(23865611, 'u')",replied_to,
"(1315412586733555712, 't')","(11006752, 'u')",replied_to,
"(1316061430727106560, 't')","(896611976117272576, 'u')",replied_to,
"(1316435162171871232, 't')","(14303901, 'u')",replied_to,
"(1316745398745088000, 't')","(23832586, 'u')",replied_to,
"(1317573955318808576, 't')","(247977494, 'u')",replied_to,
"(1317574310723166208, 't')","(247977494, 'u')",replied_to,
"(1317665874333949952, 't')","(781565432499240960, 'u')",replied_to,
"(1318212190076194816, 't')","(39189472, 'u')",replied_to,
"(1318390001697128448, 't')","(71426412, 'u')",replied_to,
"(1320973503617658880, 't')","(846945457, 'u')",replied_to,
"(1322703108347097088, 't')","(1196280890625626112, 'u')",replied_to,
"(1323424817064910848, 't')","(3924209712, 'u')",replied_to,
"(1324785748990545920, 't')","(2545951341, 'u')",replied_to,
"(1326401407486996480, 't')","(470918844, 'u')",replied_to,
"(1326404775001395200, 't')","(470918844, 'u')",replied_to,
"(1326510985184645120, 't')","(2185190036, 'u')",replied_to,
"(1326578835177918464, 't')","(1302317818398949376, 'u')",replied_to,
"(1327019156508532736, 't')","(67109577, 'u')",replied_to,
"(1327404366345633792, 't')","(928741500, 'u')",replied_to,
"(1328387154494382080, 't')","(136561003, 'u')",replied_to,
"(1328453821895303168, 't')","(136561003, 'u')",replied_to,
"(1328491569268154368, 't')","(15225493, 'u')",replied_to,
"(1329691464675196928, 't')","(29148038, 'u')",replied_to,
"(1330670517066481664, 't')","(1056920744, 'u')",replied_to,
"(1331029619101798400, 't')","(225923287, 'u')",replied_to,
"(1331624945831399424, 't')","(1060580285975150592, 'u')",replied_to,
