Topic,Count,Name,Representation,Representative_Docs
-1,28364,-1_blm_co_https_https co,"['blm', 'co', 'https', 'https co', 'the', 'to', 'blacklivesmatter', 'and', 'you', 'of', 'is', 'in', 'this', 'that', 'it']","['@blh4house they sure want you to think the libs are coming for you and the black lives matter and the antifa. why d… https://t.co/dpqdaxas3p', 'this is why we are doing what we are doing. this is why george floyd should be alive and this little girl would hav… https://t.co/ixolw6pg6d', 'black lives matter blacklivesmatter']"
0,1540,0_nazi_nazis_the nazis_the nazi,"['nazi', 'nazis', 'the nazis', 'the nazi', 'you', 'are', 'nazis are', 'the', 'nazis and', 'they', 'of', 'to', 'your', 'and', 'like']","['sounds like the nazis', 'fucking nazis', 'fucking nazis']"
1,1502,1_lives_matter_lives matter_black lives,"['lives', 'matter', 'lives matter', 'black lives', 'black lives matter', 'black', 'all lives', 'matter https co', 'matter https', 'lives matter https', 'lives matter movement', 'matter movement', 'the black lives', 'the black', 'all']","['black lives matter ✊🏽', 'black lives matter !!!', 'black lives matter ✊🏾']"
2,1391,2_slave_slaves_labor_owners,"['slave', 'slaves', 'labor', 'owners', 'slave owners', 'slave labor', 'the slave', 'to', 'they', 'the slaves', 'were', 'you', 'my', 'slaves to', 'that']","['i am a slave', 'slave mentality', '🇨🇳🇨🇳🇨🇳 slave']"
3,1288,3_blm protests_protests_blm_protesters,"['blm protests', 'protests', 'blm', 'protesters', 'protest', 'the blm', 'blm protest', 'blm protesters', 'peaceful', 'riots', 'protestors', 'blm protestors', 'the blm protests', 'were', 'the']","['but, the protests and riots were just fine? if you support blm protests/riots then you certainly have no problem w… https://t.co/rtn3jbjep8', 'you guys remember how the capitol building looked during the blm protests?', 'it’s the spontaneous events in la for me. the last time we were here, was during the blm protests, this time, the t… https://t.co/sicb6vumwx']"
4,965,4_chauvin_derek_derek chauvin_guilty,"['chauvin', 'derek', 'derek chauvin', 'guilty', 'chauvin is', 'trial', 'verdict', 'murder', 'degree', 'derek chauvin is', 'chauvin trial', 'the derek', 'the derek chauvin', 'found guilty', 'chauvin was']","['derek chauvin is guilty guilty guilty!\n💖💖💖😭😭😭', 'fuck derek chauvin', 'derek chauvin is guilty of all charges']"
5,910,5_hitler_he_his_him,"['hitler', 'he', 'his', 'him', 'hitler was', 'was', 'he was', 'would', 'bunker', 'he is', 'that', 'realdonaldtrump', 'like', 'had', 'hitler and']","[""@thomaskaine5 no. but he's not hitler intellectually, who was a voracious reader. he's evil like hitler but he's as… https://t.co/htqgwbsq3e"", ""he's not hitler only because he does not have hitler's skills. hitler was actually brilliant. people don't like to… https://t.co/9ygeap2tlp"", 'orange hitler']"
6,842,6_trump_hitler_trump is_trump supporters,"['trump', 'hitler', 'trump is', 'trump supporters', 'supporters', 'president', 'hitler trump', 'he', 'trump hitler', 'blm', 'obama', 'is', 'to', 'trump hitler trump', 'and']","['@seanhannity trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler', '@realdonaldtrump trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler', 'hitler trump🤔']"
7,825,7_blacklivesmatter https co_blacklivesmatter https_blacklivesmatter_https co,"['blacklivesmatter https co', 'blacklivesmatter https', 'blacklivesmatter', 'https co', 'https', 'co', 'blacklivesmatters https co', 'blacklivesmatters https', 'blacklivesmatter blacklivesmatter https', 'blacklivesmatters', 'we must ensure', 'must ensure', 'ensure blacklivesmatter', 'ensure blacklivesmatter doesn', 'must ensure blacklivesmatter']","['blacklivesmatter https://t.co/chdrgt0yzm', 'blacklivesmatter https://t.co/ui3sdivovc', 'blacklivesmatter blacklivesmatter https://t.co/kutbzup2eo']"
8,801,8_mayor jacob_mayor jacob frey_frey justice for_frey justice,"['mayor jacob', 'mayor jacob frey', 'frey justice for', 'frey justice', 'jacob frey justice', 'jacob frey', 'frey', 'floyd sign the', 'floyd sign', 'george floyd sign', 'jacob', 'justice for george', 'change mayor', 'change mayor jacob', 'mayor']","['mayor jacob frey: justice for george floyd - sign the petition! https://t.co/fban1tshtx via @change', 'mayor jacob frey: justice for george floyd - sign the petition! https://t.co/mfeotngtau', 'mayor jacob frey: justice for george floyd - sign the petition! https://t.co/3letw9qsjl']"
