Topic,Count,Name,Representation,Representative_Docs
-1,26856,-1_black_blm_you_and,"['black', 'blm', 'you', 'and', 'blacklivesmatter', 'of', 'lives', 'to', 'matter', 'this']","['if you aren’t with us, you’re against us!! there is no in between! blm', 'i didn’t like getting called faggot by republicans when i was a kid so i don’t really give a fuck.', 'no need for violence. we need more people like them here in los angeles blm']"
0,1806,0_nazis_nazi_nazism_fascist,"['nazis', 'nazi', 'nazism', 'fascist', 'punch', 'blah', 'you', 're', 'realdonaldtrump', 'were']","['nazis don’t want to be called nazis', 'nazi', 'they are nazis']"
1,1187,1_hitler_he_him_his,"['hitler', 'he', 'him', 'his', 'bunker', 'hitlers', 'adolf', 'realdonaldtrump', 'orange', 'would']","['@thomaskaine5 i do as well but if he is hitler how did he get out of hell ,did he’s rich daddy paid he’s way out ?🤔', 'hitler did one thing no one else could .... he killed hitler.', 'hitler shit']"
2,1046,2_slave_slaves_labor_owners,"['slave', 'slaves', 'labor', 'owners', 'master', 'slavery', 'mentality', 'wages', 'trade', 'free']","['there is no master only slaves', ""they can't they are just being their slaves just because"", 'slaves to time']"
3,892,3_protests_protesters_riots_peaceful,"['protests', 'protesters', 'riots', 'peaceful', 'protestors', 'protest', 'blm', 'protesting', 'were', 'capitol']","['at what point will we need a blm protest to protest blm protests?', 'blm antifa, this is what you call a peaceful protest! 🥳', 'if these were blm protesters, tear gas and rubber bullets would have been used already...']"
4,819,4_semitic_anti_semitism_jews,"['semitic', 'anti', 'semitism', 'jews', 'jewish', 'israel', 'antisemitism', 'nick', 'jew', 'cannon']","['what an anti semitic idiot.', '“trump can’t be anti semitic he has jewish grand children!” 🙃', 'shut your anti semitic ass up']"
5,806,5_trump_supporters_hitler_president,"['trump', 'supporters', 'hitler', 'president', 'obama', 'donald', 'tre45son', 'supporter', 'bunker', 'fbrparty']","['hitler trump', '@realdonaldtrump trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler', '@realdonaldtrump trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler trump hitler']"
6,770,6_frey_jacob_mayor_petition,"['frey', 'jacob', 'mayor', 'petition', 'sign', 'change', 'via', 'justice', 'floyd', 'george']","['mayor jacob frey: justice for george floyd - sign the petition! https://t.co/lfvtgk0v1i via @change', 'mayor jacob frey: justice for george floyd - sign the petition! https://t.co/whakiqpixa via @change', 'mayor jacob frey: justice for george floyd - sign the petition! https://t.co/whakiqpixa via @change']"
7,693,7_police_policebrutality_cops_policereform,"['police', 'policebrutality', 'cops', 'policereform', 'cop', 'rso', 'policebrutalitypandemic', 'perverted', 'officers', 'policereformnow']","['fuck the police blacklivesmatter', 'defundthepolice blacklivesmatter  \npolicebrutality  \npolicereform', 'policebrutality policeviolence blacklivesmatter blm']"
8,659,8_blacklivesmatter_https_co_ensure,"['blacklivesmatter', 'https', 'co', 'ensure', 'crews', 'terry', 'morph', 'blacklivesmatters', 'beruqzlbqi', 'occupiers']","['black unity occupiers attempting to bring chaz to grand park writer blacklivesmatter \nhttps://t.co/pyrt1cla00', 'james baldwin &amp; chinua achebe looking for that fool terry crews who said:\n""we must ensure blacklivesmatter doesn\'t… https://t.co/awksqerrjk', 'twinning with terry crews:\n\nthe 1/2 black power sign.\n\n""we must ensure blacklivesmatter doesn\'t morph into… https://t.co/8dpcpwzr0y']"
9,640,9_kike_dodgers_joc_dodger,"['kike', 'dodgers', 'joc', 'dodger', 'hit', 'kikehndez', 'game', 'ball', 'sox', 'seager']","['kike 😍😍', 'kike 😍😍😍', 'kike 💯💯😈']"
10,595,10_blacklivesmatter_blackisking_takeaknee_nobidennotrump,"['blacklivesmatter', 'blackisking', 'takeaknee', 'nobidennotrump', 'weareunited', 'noonprop20', 'beardown', 'blackarchitects', 'aapiforblm', 'freemumia']","['blacklivesmatter', 'blacklivesmatter', 'blacklivesmatter']"
11,593,11_she_her_woman_terf,"['she', 'her', 'woman', 'terf', 'nigger', 'girl', 'said', 'dyke', 'bitch', 'herself']","['all she did was stop going on social media cause she didn’t wanna see the fags do this stupid shit 😭😂😭😂😭', 'fuck my white bitch so she won’t say nigger', 'come on y’all she’s a dyke']"
12,542,12_bipoc_communities_artists_biphobia,"['bipoc', 'communities', 'artists', 'biphobia', 'color', 'disabled', 'writers', 'bi', 'representation', 'folx']","['my favorite flavor of bullsh*t is white ppl calling out bipoc for not supporting bipoc.', 'support bipoc content!!!', 'still don’t know what bipoc means.']"
13,524,13_reparations_ubi_ados_need,"['reparations', 'ubi', 'ados', 'need', 'pay', 'medicareforall', 'owed', 'cancelstudentdebt', 'greennewdeal', 'landback']","['&amp;  reparations 🙄', 'reparations reparations reparations \nlet in on some of that', 'and reparations !!']"
14,519,14_homophobia_internalized_gay_racism,"['homophobia', 'internalized', 'gay', 'racism', 'misogyny', 'fil', 'gays', 'transphobia', 'homophobic', 'masculinity']","['this is homophobia', 'homophobia', 'homophobia']"
15,513,15_racism_racist_endracism_racists,"['racism', 'racist', 'endracism', 'racists', 'systemic', 'systemicracism', 'xenophobia', 'end', 'fuckracism', 'racial']","['love the anti-black racism', 'fuck racism! blacklivesmatter', 'blm = racism']"
